epoch,accuracy,loss,val_accuracy,val_loss
1,0.4967049216824373,1.6433851703179834,0.4958206389408609,1.8113729967302066
2,0.5269356359410973,1.6084373449841223,0.48339119827252625,1.7890413482404373
3,0.5653263054079648,1.536817735128403,0.5512137809555641,1.5669942593245703
4,0.5569627888311585,1.4436983829153458,0.5166998208494176,1.5802843245055624
5,0.5741883854302864,1.394601203112307,0.5780529313496896,1.5077309818176843
6,0.6003683811883372,1.3424778237462656,0.6317038493583048,1.4575121962204445
7,0.6432047159760574,1.327026383416842,0.5896629577079125,1.2802577276139906
8,0.6559838982238426,1.1838252177764315,0.6197266769868919,1.1997666430299965
9,0.6646851758908628,1.1124072787868053,0.6546246062491212,1.2155707624913712
10,0.7019095378124899,1.0243905844219847,0.6641410132334655,1.1280071283985014
11,0.7172456369244311,0.8758807303354067,0.6647762050628878,1.0493667477804516
12,0.7518980959106251,0.8768341818241366,0.7187396805487521,0.9778487262643224
13,0.7484165720128924,0.8055671031344831,0.7177012941465305,0.8502092902368648
14,0.7756113835905072,0.8269507371309903,0.7699981644021774,0.8195074217001553
15,0.7962236408609124,0.645989771935071,0.7637167784732187,0.7462325710333549
16,0.801731486304334,0.5910092621143972,0.8346828986266666,0.6195455869934183
17,0.8497049620507056,0.5028220555275797,0.8095980920480121,0.6722360939782903
18,0.8707579343458562,0.38272656270574495,0.8404008749390444,0.5263232249929575
19,0.8884977544812159,0.40044975468586386,0.8846913969789724,0.3667506146135515
20,0.9064811929993728,0.310077321307471,0.8653827136713209,0.38282768043169146
