epoch,accuracy,loss,val_accuracy,val_loss
1,0.45993428306022466,1.8732824384460778,0.4384616644998852,1.8712495457292826
2,0.4698662929239447,1.712395395501989,0.4469157859771176,1.8109657245580657
3,0.5082169286567507,1.6507448312870279,0.4623719508350308,1.6778304278754277
4,0.5483553339702658,1.4998152222682744,0.48036714445237305,1.5945433920288439
5,0.5358432482950071,1.467517705879004,0.47356326603028803,1.6371726019752308
6,0.5584751555978584,1.4239671821170723,0.5151617895269743,1.591900717503723
7,0.6173737299943584,1.2845555842867795,0.5442735044102158,1.4283109716525482
8,0.6237697472146372,1.284574374601494,0.6048491082870519,1.4149488159787844
9,0.6216631438602482,1.159441749714586,0.6096430888181588,1.2985402667660157
10,0.6645354113980351,1.0985732072471783,0.5796082066422474,1.160240183144745
11,0.667047435617435,1.006756774651688,0.6544178887085541,1.1427363679094522
12,0.6896327733496476,1.0531402250149204,0.6593203114106447,1.1354400887248
13,0.7264181927997417,0.8835356650788926,0.6746558973607721,0.9631135955481396
14,0.7059449214226334,0.7550091903943101,0.7295024335368111,0.9812470404014717
15,0.7323437486128972,0.7727061929735803,0.7626170933255566,0.6522889779651415
16,0.7782279336257069,0.5942209753961857,0.7827556871884312,0.7808930976309343
17,0.7918486407512062,0.5893905481712902,0.7611248250773287,0.658907034620606
18,0.8410217887571687,0.40464807275337933,0.7970065327089828,0.5578490326562584
19,0.8392079395422073,0.35990648702876243,0.8356500068377206,0.5034003834342353
20,0.8517539259732941,0.35984306179345615,0.874388628178059,0.3007458651239464
